2023-06-08 13:16:30,993 INFO    MainThread:544184 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-08 13:16:30,994 INFO    MainThread:544184 [wandb_setup.py:_flush():76] Configure stats pid to 544184
2023-06-08 13:16:30,994 INFO    MainThread:544184 [wandb_setup.py:_flush():76] Loading settings from /home/vador/.config/wandb/settings
2023-06-08 13:16:30,994 INFO    MainThread:544184 [wandb_setup.py:_flush():76] Loading settings from /home/vador/git/chessGPT/notebooks/wandb/settings
2023-06-08 13:16:30,994 INFO    MainThread:544184 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-08 13:16:30,994 INFO    MainThread:544184 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-06-08 13:16:30,994 INFO    MainThread:544184 [wandb_init.py:_log_setup():507] Logging user logs to /home/vador/git/chessGPT/notebooks/wandb/run-20230608_131630-duzhw62a/logs/debug.log
2023-06-08 13:16:30,995 INFO    MainThread:544184 [wandb_init.py:_log_setup():508] Logging internal logs to /home/vador/git/chessGPT/notebooks/wandb/run-20230608_131630-duzhw62a/logs/debug-internal.log
2023-06-08 13:16:30,995 INFO    MainThread:544184 [wandb_init.py:init():547] calling init triggers
2023-06-08 13:16:30,995 INFO    MainThread:544184 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-06-08 13:16:30,995 INFO    MainThread:544184 [wandb_init.py:init():571] re-initializing run, found existing run on stack: ter4zm0f
2023-06-08 13:16:30,997 INFO    MainThread:544184 [wandb_run.py:_finish():1890] finishing run vador/chessGPT/ter4zm0f
2023-06-08 13:16:30,998 ERROR   MainThread:544184 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2023-06-08 13:16:30,998 INFO    MainThread:544184 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-06-08 13:16:30,998 INFO    MainThread:544184 [wandb_init.py:_jupyter_teardown():435] cleaning up jupyter logic
2023-06-08 13:16:30,998 INFO    MainThread:544184 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-06-08 13:16:30,998 INFO    MainThread:544184 [wandb_run.py:_restore():2107] restore
2023-06-08 13:16:30,998 INFO    MainThread:544184 [wandb_run.py:_restore():2113] restore done
2023-06-08 13:16:37,093 INFO    MainThread:544184 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-06-08 13:16:37,104 INFO    MainThread:544184 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-06-08 13:16:37,110 INFO    MainThread:544184 [wandb_run.py:_footer_sync_info():3426] logging synced files
2023-06-08 13:16:37,296 INFO    MainThread:544184 [wandb_init.py:init():596] starting backend
2023-06-08 13:16:37,296 INFO    MainThread:544184 [wandb_init.py:init():600] setting up manager
2023-06-08 13:16:37,298 INFO    MainThread:544184 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-08 13:16:37,299 INFO    MainThread:544184 [wandb_init.py:init():606] backend started and connected
2023-06-08 13:16:37,301 INFO    MainThread:544184 [wandb_run.py:_label_probe_notebook():1235] probe notebook
2023-06-08 13:16:37,301 INFO    MainThread:544184 [wandb_run.py:_label_probe_notebook():1245] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-06-08 13:16:37,301 INFO    MainThread:544184 [wandb_init.py:init():703] updated telemetry
2023-06-08 13:16:37,306 INFO    MainThread:544184 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-08 13:16:39,308 INFO    MainThread:544184 [wandb_run.py:_on_init():2176] communicating current version
2023-06-08 13:16:39,485 INFO    MainThread:544184 [wandb_run.py:_on_init():2185] got version response 
2023-06-08 13:16:39,485 INFO    MainThread:544184 [wandb_init.py:init():787] starting run threads in backend
2023-06-08 13:16:39,527 INFO    MainThread:544184 [wandb_run.py:_console_start():2155] atexit reg
2023-06-08 13:16:39,527 INFO    MainThread:544184 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-06-08 13:16:39,527 INFO    MainThread:544184 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-08 13:16:39,527 INFO    MainThread:544184 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-08 13:16:39,528 INFO    MainThread:544184 [wandb_init.py:init():828] run started, returning control to user process
2023-06-08 13:16:39,528 INFO    MainThread:544184 [wandb_watch.py:watch():51] Watching
